,Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Discount
773,HAIER ,HD LED,32,7739,19990,Android,4.0,12251
774,HUIDI ,HD LED,32,9499,16599,Android,4.0,7100
775,HUIDI ,Ultra HD LED,49,26999,36999,Android,4.5,10000
776,HUIDI ,Ultra HD LED,55,36999,46999,Android,4.237685459940661,10000
777,IFFALCON BY TCL,Ultra HD LED,50,28999,58990,Android,4.3,29991
778,IFFALCON BY TCL,Ultra HD LED,55,113990,113990,Android,4.237685459940661,0
779,IFFALCON BY TCL,Ultra HD LED,65,49999,99990,Android,4.237685459940661,49991
780,IMPEX ,HD LED,32,9999,16990,HomeOS,3.6,6991
781,IMPEX ,HD LED,32,11390,18190,HomeOS,4.7,6800
782,IMPEX ,HD LED,24,7999,12990,HomeOS,4.4,4991
783,IMPEX ,Ultra HD LED,55,60859,89990,Android,4.237685459940661,29131
784,IMPEX ,Full HD LED,50,31000,49990,Android,4.237685459940661,18990
785,INTEX ,HD LED,38,19800,34600,Android,5.0,14800
786,INTEX ,Full HD LED,55,49900,49900,Android,4.3,0
787,INTEX ,Full HD LED,50,29499,39999,Android,3.8,10500
788,INTEX ,Full HD LED,43,23688,47990,Android,4.2,24302
789,INTEX ,Full HD LED,43,35999,35999,Android,4.2,0
790,JVC,Ultra HD LED,65,55000,109000,Android,4.1,54000
791,JVC,HD LED,32,16990,21000,Android,4.1,4010
792,JVC,HD LED,24,12999,12999,Android,3.8,0
793,KRISONS,HD LED,19,5499,7999,Android,4.237685459940661,2500
794,KRISONS,HD LED,17,5499,6999,Android,4.237685459940661,1500
798,LLOYD ,Full HD LED,39,22990,39990,Linux,3.8,17000
799,LLOYD ,Full HD LED,48,39999,50990,Linux,4.237685459940661,10991
800,LLOYD ,Ultra HD LED,43,33999,69990,Linux,4.2,35991
801,LLOYD ,HD LED,32,14990,19990,Linux,4.3,5000
802,LLOYD ,Ultra HD LED,42,25990,59900,Linux,3.5,33910
803,LLOYD ,Full HD LED,55,114990,114990,Linux,4.237685459940661,0
804,LLOYD ,Full HD LED,46,55990,55990,Linux,5.0,0
805,LLOYD ,HD LED,32,11000,20990,Linux,3.7,9990
806,LLOYD ,HD LED,24,8103,15990,Linux,3.7,7887
807,LLOYD ,Ultra HD LED,55,51999,99990,Linux,3.7,47991
808,LLOYD ,HD LED,24,13200,14990,Linux,2.5,1790
809,LLOYD ,Full HD LED,43,25490,39000,Linux,4.237685459940661,13510
810,LUMX ,HD LED,24,7290,17900,Android,4.3,10610
811,LUMX ,HD LED,40,29990,29990,Android,4.237685459940661,0
812,LUMX ,Ultra HD LED,55,65900,65900,Android,4.237685459940661,0
813,MARQ BY FLIPKART,HD LED,24,7499,14999,Unknown,4.2,7500
814,MARQ BY FLIPKART,Full HD LED,24,6999,11499,Unknown,4.3,4500
815,MARQ BY FLIPKART,Full HD LED,32,9499,16499,Unknown,4.3,7000
816,MARQ BY FLIPKART,HD LED,32,13499,15499,Android,4.1,2000
817,MARQ BY FLIPKART,Full HD LED,40,18999,29499,Linux,4.3,10500
818,MARQ BY FLIPKART,HD LED,32,10499,18499,Linux,4.3,8000
819,MICROMAX,Ultra HD LED,43,91990,91990,Android,4.0,0
820,MICROMAX,Full HD LED,40,29990,29990,Android,4.0,0
821,MICROMAX,Full HD LED,49,65990,65990,Android,4.4,0
822,MICROMAX,Full HD LED,50,66990,66990,Android,4.3,0
823,MICROMAX,Full HD LED,55,71990,71990,Android,4.2,0
824,MICROMAX,HD LED,24,11999,13490,Android,3.9,1491
825,MICROMAX,Full HD LED,24,6179,13390,Android,4.2,7211
826,MICROMAX,HD LED,20,5364,10990,Android,4.1,5626
827,MOTOROLA,Ultra HD LED,55,42999,61999,Android,4.4,19000
828,MURPHY ,Full HD LED,32,13990,14999,Unknown,3.7,1009
829,MURPHY ,HD LED,24,7490,12990,Unknown,3.0,5500
830,MURPHY ,Full HD LED,32,16799,17999,Android,2.6,1200
831,ONEPLUS,Ultra HD LED,50,43999,49999,Android,4.3,6000
832,ONEPLUS,QLED Ultra HD,55,84990,99900,Android,4.8,14910
833,ONEPLUS,Ultra HD LED,65,66999,69999,Android,4.3,3000
834,ONEPLUS,QLED Ultra HD,55,62899,69900,Android,4.6,7001
835,ONIDA,HD LED,24,8359,13490,Android,4.2,5131
836,ONIDA,HD LED,32,22990,22990,Android,4.7,0
